year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
2006,Uri,57,272,2969,0.09161333782418322,0.019198383294038397
2006,Valais,939,4965,52839,0.09396468517572248,0.01777096462839948
2006,Vaud,4279,16509,186640,0.08845370767252464,0.022926489498499784
2006,Zug,494,1648,21899,0.07525457783460432,0.022558107676149595
2006,Zürich,11494,18217,285205,0.06387335425395768,0.04030083624059887
2007,Aargau,2395,6551,115404,0.05676579667949118,0.020753180132404424
2007,Appenzell Ausserrhoden,183,697,6600,0.1056060606060606,0.02772727272727273
2007,Appenzell Innerrhoden,19,121,1430,0.08461538461538462,0.013286713286713287
2007,Basel-Landschaft,1118,2774,47621,0.058251611683920956,0.0234770374414649
2007,Basel-Stadt,2049,5761,55588,0.10363747571418291,0.036860473483485645
2007,Bern,4301,10948,117709,0.0930090307453126,0.03653926207851566
2007,Fribourg,844,4473,41112,0.10880035026269702,0.020529285853278848
2007,Genève,5083,18321,161701,0.11330171118298588,0.0314345613199671
2007,Glarus,291,422,7406,0.05698082635700783,0.03929246556845801
2007,Graubünden,375,3303,27087,0.12194041422084395,0.013844279543692547
2007,Jura,225,596,8053,0.07400968583136719,0.02793989817459332
2007,Luzern,1572,5108,55448,0.0921223488674073,0.02835088731784735
2007,Neuchâtel,1218,2998,38923,0.07702386763610204,0.03129255196156514
2007,Nidwalden,92,475,3859,0.12308888313034465,0.023840373153666754
2007,No indication,0,0,0,,
2007,Obwalden,113,447,3974,0.11248112732762959,0.02843482637141419
2007,Schaffhausen,322,1423,15650,0.09092651757188498,0.02057507987220447
2007,Schwyz,460,2023,23051,0.08776191922259338,0.019955750292828943
2007,Solothurn,671,2537,45311,0.055990819006422284,0.014808766083291033
2007,St. Gallen,2593,7582,94718,0.0800481429084229,0.027376000337844972
2007,Switzerland,43889,143855,1554527,0.09253940266074503,0.028233025222463168
2007,Thurgau,929,3359,45975,0.07306144643828168,0.02020663404023926
2007,Ticino,2559,6020,81606,0.07376908560645051,0.031357988383207115
2007,Uri,88,295,2959,0.09969584319026699,0.02973977695167286
2007,Valais,895,6063,54344,0.11156705432062418,0.01646915942882379
2007,Vaud,5950,18759,191114,0.09815607438492209,0.031133250311332503
2007,Zug,536,2854,22406,0.1273765955547621,0.023922163706150138
2007,Zürich,9008,29945,285478,0.10489424754271783,0.0315540952367608
2008,Aargau,2994,8808,118407,0.07438749398261928,0.02528566723251159
2008,Appenzell Ausserrhoden,165,702,6959,0.10087656272452938,0.023710303204483404
2008,Appenzell Innerrhoden,30,143,1510,0.09470198675496688,0.019867549668874173
2008,Basel-Landschaft,1250,3027,48719,0.06213181715552454,0.02565734107842936
2008,Basel-Stadt,1828,5772,56106,0.10287669767939257,0.03258118561294692
2008,Bern,4499,11923,119930,0.09941632619027767,0.03751354957058284
2008,Fribourg,1176,4057,43838,0.09254528035038095,0.026826041334002463
2008,Genève,3693,20962,163951,0.1278552738318156,0.022525022720202986
2008,Glarus,215,474,7314,0.06480721903199343,0.0293956795187312
2008,Graubünden,576,3846,28008,0.1373179091688089,0.02056555269922879
2008,Jura,262,685,8195,0.0835875533862111,0.03197071384990848
2008,Luzern,1692,5738,57268,0.10019557169798142,0.029545295802193196
2008,Neuchâtel,667,3014,39654,0.07600746456851767,0.016820497301659354
2008,Nidwalden,88,485,4046,0.1198714780029659,0.021749876421156698
2008,No indication,0,0,0,,
2008,Obwalden,68,458,4043,0.11328221617610686,0.016819193668068267
2008,Schaffhausen,344,1399,16323,0.08570728420020829,0.02107455737303192
2008,Schwyz,533,2070,24262,0.08531860522627978,0.02196851042782953
2008,Solothurn,597,2451,46898,0.05226235660369312,0.012729753934069683
2008,St. Gallen,2310,8484,97461,0.08705020469726352,0.02370178840767076
2008,Switzerland,44365,161629,1602093,0.1008861533007135,0.027691900532615773
2008,Thurgau,824,4163,47390,0.08784553703312935,0.017387634522051065
2008,Ticino,2419,6403,82794,0.07733652197019107,0.02921709302606469
2008,Uri,100,385,3046,0.1263952724885095,0.03282994090610637
2008,Valais,727,6475,57061,0.11347505301344175,0.012740751125987979
2008,Vaud,5630,24395,195071,0.12505703051709377,0.028861286403412092
2008,Zug,522,2871,23997,0.1196399549943743,0.021752719089886234
2008,Zürich,11156,32439,299842,0.10818697847533033,0.03720626196463471
2009,Aargau,2011,7530,123983,0.060734132905317664,0.016219965640450706
2009,Appenzell Ausserrhoden,154,528,7279,0.07253743646105235,0.021156752301140266
2009,Appenzell Innerrhoden,26,96,1565,0.06134185303514377,0.016613418530351438
2009,Basel-Landschaft,1075,2914,50247,0.05799351205047067,0.02139431209823472
2009,Basel-Stadt,1203,5687,57382,0.09910773413265483,0.020964762469066953
2009,Bern,3030,10039,123649,0.08118949607356307,0.024504848401523668
2009,Fribourg,734,3662,46066,0.07949463812790344,0.01593366040029523
2009,Genève,3916,19467,170094,0.11444848142791633,0.023022563994026832
2009,Glarus,129,447,7430,0.06016150740242261,0.017362045760430687
2009,Graubünden,539,3573,29619,0.12063202673959283,0.018197778453020022
2009,Jura,141,490,8440,0.058056872037914695,0.016706161137440757
2009,Luzern,1793,4629,59735,0.07749225747049468,0.030015903574119027
2009,Neuchâtel,2146,2427,40593,0.05978863350824034,0.052866257729165124
2009,Nidwalden,118,344,4303,0.0799442249593307,0.02742272832907274
2009,No indication,0,0,0,,
2009,Obwalden,131,425,4276,0.09939195509822264,0.030636108512628626
